,author,date,favorite,thumb,title,title_href
50,橙皮书,2018/05/17,33,5,这篇一万余字的长文：涉及到区块链的方方面面，不止谈技术,http://www.woshipm.com/blockchain/1028887.html
51,蓝狐笔记,2018/05/17,28,4,区块链共识机制的演化,http://www.woshipm.com/blockchain/1028904.html
52,liheng,2018/05/16,13,3,区块链知识讲解：SPV简单支付验证,http://www.woshipm.com/blockchain/1027209.html
53,蓝狐笔记,2018/05/16,7,5,Holochain的机会：假如区块链没有3.0,http://www.woshipm.com/blockchain/1027786.html
54,硅谷密探,2018/05/16,14,3,好的区块链项目，都有这三个共同点,http://www.woshipm.com/blockchain/1027515.html
55,Alice,2018/05/15,13,2,区块链随想录——一种设想中的公链架构,http://www.woshipm.com/blockchain/1026258.html
56,蓝狐笔记,2018/05/14,38,7,区块链不是什么？区块链是什么？,http://www.woshipm.com/blockchain/1025417.html
57,liheng,2018/05/12,10,2,通俗易懂，揭秘比特币区块的内部结构,http://www.woshipm.com/blockchain/1022259.html
58,蓝狐笔记,2018/05/10,26,1,token分类的五个维度：目的、用途、法律、底层价值以及技术层,http://www.woshipm.com/blockchain/1021402.html
59,liheng,2018/05/09,12,4,区块链节点间的数据验证：哈希值与非对称加密,http://www.woshipm.com/blockchain/1019704.html
60,liheng,2018/05/09,7,2,从4个方面分析：节点与节点之间是如何建立连接的？,http://www.woshipm.com/blockchain/1016764.html
61,橙皮书,2018/05/08,9,2,重新发明 Google：代币就是新时代的“超链接”,http://www.woshipm.com/blockchain/1017798.html
62,liheng,2018/05/08,25,9,区块链设计核心难题：拜占庭将军问题,http://www.woshipm.com/blockchain/1016761.html
63,liheng,2018/05/07,13,4,从7个角度，聊聊区块链设计的基本原则,http://www.woshipm.com/blockchain/1016758.html
64,蓝狐笔记,2018/05/04,14,1,区块链入口之战：钱包乃兵家必争之地,http://www.woshipm.com/blockchain/1015592.html
65,人杂添堵,2018/04/27,36,10,案例分析：区块链垂直行业落地应用汇总,http://www.woshipm.com/blockchain/1006380.html
66,捕手志,2018/04/26,12,1,信天创投蒋宇捷：我对区块链行业的12点观察与思考,http://www.woshipm.com/blockchain/1007440.html
67,Alice,2018/04/26,3,1,因区块链崛起而蔓延的焦虑，该如何治愈？,http://www.woshipm.com/blockchain/1007177.html
68,羊羊233,2018/04/25,3,3,比特币底层漏洞：大多数正义与信道安全,http://www.woshipm.com/blockchain/1005982.html
69,蓝狐笔记,2018/04/24,12,4,区块链制度经济学：从历史到未来,http://www.woshipm.com/blockchain/1003083.html
70,橙皮书,2018/04/21,8,2,美剧《硅谷》中，第一批区块链项目已经落地了,http://www.woshipm.com/blockchain/999013.html
71,Hero Node,2018/04/20,13,3,从葛优瘫谈起——区块链如何实现去中心化,http://www.woshipm.com/blockchain/997691.html
